"","date","time","temp","clouds","humidity","wind","temp_min","temp_max"
"74",1400475600,"2014-05-19 1:0",284.055757154765,0,59.4629063628786,0.763570436232287,281.50744929147,285.37
"75",1400479200,"2014-05-19 2:0",283.260570032573,0,61,2.49261400651466,280.095447882736,285.095447882736
"76",1400472000,"2014-05-19 0:0",284.700080622741,0,58,0.776144008896303,283.16323324993,285.769216013344
"77",1400475600,"2014-05-19 1:0",284.055757154765,0,59.4629063628786,0.763570436232287,281.50744929147,285.37
"78",1400479200,"2014-05-19 2:0",283.260570032573,0,61,2.49261400651466,280.095447882736,285.095447882736
"79",1400482800,"2014-05-19 3:0",282.679283894707,0,61,3.96,280.09585621285,284.539128219643
"80",1400486400,"2014-05-19 4:0",281.934736406293,0,61.9908915263594,3.49923544024289,279.270110405741,283.987504830251
"81",1400490000,"2014-05-19 5:0",281.155366129488,0,63,3.03,277.87577890868,283.43577890868
"82",1400493600,"2014-05-19 6:0",280.563138726717,0,61.0772866277453,2.67910480956352,277.325626911315,282.616447039199
"83",1400497200,"2014-05-19 7:0",280.410619765494,0,59.4776661083194,2.28567001675042,277.302716359576,282.570209380235
"84",1400500800,"2014-05-19 8:0",282.377681564246,0,58.1106145251397,1.95352793296089,278.903122905028,284.722913407821
"85",1400504400,"2014-05-19 9:0",286.107742456897,0,56,1.57085668103448,283.177473060345,288.369458512931
"86",1400508000,"2014-05-19 10:0",288.841812516933,0,57.0262801408832,1.80683283662964,287.176280140883,290.93958547819
"87",1400511600,"2014-05-19 11:0",290.712478466241,0,58,1.78649069185885,289.317674353987,292.358385662684
"88",1400515200,"2014-05-19 12:0",292.007530595594,0,54.7854228991025,1.81859668207778,290.37,293.68576285015
"89",1400518800,"2014-05-19 13:0",292.711041789288,0,52,2.06,291.238911124191,294.498605061801
"90",1400522400,"2014-05-19 14:0",293.355962666667,0,43.3050666666667,2.581696,292.04,295.101306666667
"91",1400526000,"2014-05-19 15:0",293.948802462227,8,38.70565193061,2.54003357582541,292.627610520425,295.666452154449
"92",1400529600,"2014-05-19 16:0",294.25,8,42,2.06,293.15,295.635615106915
"93",1400533200,"2014-05-19 17:0",294.142537185355,8,42,1.79390160183066,293.15,295.37
"94",1400536800,"2014-05-19 18:0",292.793971357753,64,37.4962820159736,1.54,291.648760671991,293.70362434591
"95",1400540400,"2014-05-19 19:0",293.616885155605,8,40.4706692371248,1.54,292.640223079042,294.804147617736
"96",1400544000,"2014-05-20 20:0",291.827710428038,64,36,1.54,290.652441827061,292.871367423154
"97",1400547600,"2014-05-20 21:0",290.56382131324,64,36.497308934338,1.02777179763186,289.155382131324,292.037987082885
"98",1400551200,"2014-05-20 22:0",289.039208261618,88,37,0.768657487091222,287.045731497418,290.927865748709
"99",1400554800,"2014-05-20 23:0",287.959744586341,88,37,0.779383675735702,285.93,289.782015546918
"100",1400558400,"2014-05-20 0:0",287.452368563686,88,40.4639566395664,1.15330623306233,285.93,288.65514905149
"101",1400562000,"2014-05-20 1:0",286.765112567683,92,44,1.81,285.049891707039,288.15
"102",1400565600,"2014-05-20 2:0",285.672634814194,92,44,1.1874238614138,283.939281922325,287.671095278011
"103",1400569200,"2014-05-20 3:0",284.782125445084,92,44,0.761383182689674,283.71,286.66657080252
"104",1400572800,"2014-05-20 4:0",284.755143734301,92,43.5121406642478,1.2788082612336,283.71,286.15
"105",1400576400,"2014-05-20 5:0",285.198062187673,88,43,1.54,283.977212659633,286.635841199334
"106",1400580000,"2014-05-20 6:0",285.621544991511,88,46.335597057159,1.54,284.26,287.15
"107",1400583600,"2014-05-20 7:0",286.090843975569,88,49.5319267073848,1.05788450860633,284.522121043865,287.618073292615
"108",1400587200,"2014-05-20 8:0",286.777767467249,92,49,1.00194868995633,285.082691048035,288.627620087336
"109",1400590800,"2014-05-20 9:0",287.338880105402,68,53.1001317523057,2.06789196310935,285.938893280632,289.15
"110",1400594400,"2014-05-20 10:0",287.46771000535,68,57,2.2858025682183,286.48,289.15
"111",1400598000,"2014-05-20 11:0",287.954589426322,68,57,2.06,286.801102362205,289.849544431946
"112",1400601600,"2014-05-20 12:0",289.556253115481,36,59.2708391027416,2.06,287.670157851011,291.948233176405
"113",1400605200,"2014-05-20 13:0",291.941719163968,36,58.8251398292611,1.77726817780394,289.96057109214,294.237430085369
"114",1400608800,"2014-05-20 14:0",294.023420454545,36,59.0079545454545,1.80103409090909,291.761113636364,296.153977272727
"115",1400612400,"2014-05-20 15:0",295.473223025584,36,61,2.06,293.074463292547,297.365717463849
"116",1400616000,"2014-05-20 16:0",296.63466270912,48,58.9827307069617,1.54055315704263,295.047684835402,297.872417701025
"117",1400619600,"2014-05-20 17:0",297.353267158253,48,57,1.28962847419172,296.209991491775,298.435082246171
"118",1400623200,"2014-05-20 18:0",297.670074646761,92,55.9624100239936,1.54,296.308797653959,298.938269794721
"119",1400626800,"2014-05-20 19:0",297.403201386882,92,55,1.00223345853799,294.876067610517,298.920274487142
"120",1400630400,"2014-05-21 20:0",296.503026706231,92,55,2.36875370919881,293.131721068249,298.420860534125
"121",1400634000,"2014-05-21 21:0",295.524355259345,92,55,2.53474645030426,292.59,297.863590263692
"122",1400637600,"2014-05-21 22:0",294.136860787576,92,59.4201331114809,2.17432334997227,291.774731003882,296.499700499168
"123",1400641200,"2014-05-21 23:0",292.87095039019,76,64,3.36,290.385827759197,295.100365105909
"124",1400644800,"2014-05-21 0:0",291.790251012146,92,82.1117408906883,2.18776788124157,288.979816464238,293.698078272605
"125",1400648400,"2014-05-21 1:0",291.388342368046,92,100,0.767552068473609,288.15,293.993087018545
"126",1400652000,"2014-05-21 2:0",291.804336551724,92,100,1.27708965517241,287.872857931034,294.820664827586
"127",1400655600,"2014-05-21 3:0",291.760060941828,92,100,2.56971745152355,287.035307479224,295.204476454294
"128",1400659200,"2014-05-21 4:0",291.567542172034,92,100,1.54328593336122,288.151645057856,294.650766764255
"129",1400662800,"2014-05-21 5:0",291.622749198383,92,100,2.57214415167991,287.032448069148,295.654530879688
"130",1400666400,"2014-05-21 6:0",291.278983853007,92,94.0902004454343,1.26146714922049,288.926692650334,293.657516703786
"131",1400670000,"2014-05-21 7:0",290.693768373036,1,90.6799290420679,1.80015205271161,289.15,292.614014191586
"132",1400673600,"2014-05-21 8:0",290.829819792303,1,93,1.7540012217471,289.696426389737,292.15
"133",1400677200,"2014-05-21 9:0",291.195089408528,75,93,1.80107290233838,290.15,292.15
